,,1.,2.
,,23
1.,Chamarczuk Aldona,1,1
2.,Głyżewski Roman,1,1
3.,Golla Henryk,1,1
4.,Jesiek-Barabasz Agnieszka,1,1
5.,Justyna Janusz,0,0
6.,Kolera Grzegorz,1,1
7.,Koronkiewicz Krzysztof,1,1
8. Kulasek Krzysztof,1,1
9.,Pieniążkowski Jakub,1,1
10.,Piosik Łukasz,0,0
12.,Wegner Mariola,0,0
11.,Wełniak Stanisław,1,1
13.,Wojtuń Stanisław,1,2
14.,Zając Maciej,0,0
15.,Żelichowski Krzysztof,1,3
16.Muzioł Zygmunt,-1,-1
